text,href,title
"Results","https://www.tabroom.com/index/results/","Results"
"Invite","https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=36610",""
"Entries","https://www.tabroom.com/index/tourn/fields.mhtml?tourn_id=36610",""
"Judges","https://www.tabroom.com/index/tourn/judges.mhtml?tourn_id=36610",""
"Pairings","https://www.tabroom.com/index/tourn/postings/index.mhtml?tourn_id=36610",""
"Live Updates","https://www.tabroom.com/index/tourn/updates/index.mhtml?tourn_id=36610",""
"Results","https://www.tabroom.com/index/tourn/results/index.mhtml?tourn_id=36610",""
"CEDA Points","https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=36610&result_id=416583",""
"Bracket","https://www.tabroom.com/index/tourn/results/bracket.mhtml?tourn_id=36610&result_id=416132",""
"Prelim Seeds","https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=36610&result_id=416212",""
"Speaker Awards","https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=36610&result_id=416216",""
"Prelims Table","https://www.tabroom.com/index/tourn/results/prelims_table.mhtml?tourn_id=36610&result_id=416222",""
"Final Places","https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=36610&result_id=416502",""
"FINAL
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1438646",""
"SEMIS
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1379000",""
"QTRS
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378999",""
"OCTAS
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378998",""
"DBLS
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378997",""
"RD 6
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378996",""
"RD 5
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378995",""
"RD 4
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378994",""
"RD 3
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378993",""
"RD 2
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378992",""
"RD 1
							
							
								Round results","https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36610&round_id=1378991",""
"Prelim Records","https://www.tabroom.com/index/tourn/results/ranked_list.mhtml?event_id=343690&tourn_id=36610",""
