# Tabroom.com
Comparison,Prelim Rds,Prelim Ballots,Elim Rds,Elim Ballots,Total
Novice,33.3% (2/6),40.0% (2/5),0% (0/0),0% (0/0),33.3% (2/6)
Totals,33.3% (2/6),40.0% (2/5),0% (0/0),0% (0/0),33.3% (2/6)
Tournament,Division,Date,Pre,Tri,Dbs,Oct,Qrt,Sem,Fin,Elims,Total
FR Shirley and ADA Fall Champions at WFU,Novice,2025-11-15,2-4,,,,,,,0-0,2-4
West Point Debate Tournament,Novice,2025-10-17,5-7,,,,,,,0-0,5-7
Binghamton 8th Annual Phyllis Schatz Invitational,Novice,2025-09-25,4-6,,LLL,,,,,0-1,4-7
George Mason Debate Tournament,Novice,2025-09-12,3-7,,,,,,,0-0,3-7
Tournament,Division,Date,Pre,Tri,Dbs,Oct,Qrt,Sem,Fin,Elims,Total,With
FR Shirley and ADA Fall Champions at WFU,Novice,2025-11-15,2-4,,,,,,,0-0,2-4,
West Point Debate Tournament,Novice,2025-10-17,5-7,,,,,,,0-0,5-7,Jason Guo
Binghamton 8th Annual Phyllis Schatz Invitational,Novice,2025-09-25,4-6,,LLL,,,,,0-1,4-7,Jason Guo
George Mason Debate Tournament,Novice,2025-09-12,3-7,,,,,,,0-0,3-7,Jason Guo
Tournament,Division,Date,Pre,Tri,Dbs,Oct,Qrt,Sem,Fin,Elims,Total,With
FR Shirley and ADA Fall Champions at WFU,Novice,2025-11-15,2-4,,,,,,,0-0,2-4,
West Point Debate Tournament,Novice,2025-10-17,5-7,,,,,,,0-0,5-7,Jason Guo
Binghamton 8th Annual Phyllis Schatz Invitational,Novice,2025-09-25,4-6,,LLL,,,,,0-1,4-7,Jason Guo
George Mason Debate Tournament,Novice,2025-09-12,3-7,,,,,,,0-0,3-7,Jason Guo
Tournament,Division,Date,Pre,Tri,Dbs,Oct,Qrt,Sem,Fin,Elims,Total
FR Shirley and ADA Fall Champions at WFU,Novice,2025-11-15,2-4,,,,,,,0-0,2-4
West Point Debate Tournament,Novice,2025-10-17,5-7,,,,,,,0-0,5-7
Binghamton 8th Annual Phyllis Schatz Invitational,Novice,2025-09-25,4-6,,LLL,,,,,0-1,4-7
George Mason Debate Tournament,Novice,2025-09-12,3-7,,,,,,,0-0,3-7
Tournament,Division,Date,Pre,Tri,Dbs,Oct,Qrt,Sem,Fin,Elims,Total,With
FR Shirley and ADA Fall Champions at WFU,Novice,2025-11-15,2-4,,,,,,,0-0,2-4,
West Point Debate Tournament,Novice,2025-10-17,5-7,,,,,,,0-0,5-7,Jason Guo
Binghamton 8th Annual Phyllis Schatz Invitational,Novice,2025-09-25,4-6,,LLL,,,,,0-1,4-7,Jason Guo
George Mason Debate Tournament,Novice,2025-09-12,3-7,,,,,,,0-0,3-7,Jason Guo
Tournament,Division,Date,Pre,Tri,Dbs,Oct,Qrt,Sem,Fin,Elims,Total,With
FR Shirley and ADA Fall Champions at WFU,Novice,2025-11-15,2-4,,,,,,,0-0,2-4,
West Point Debate Tournament,Novice,2025-10-17,5-7,,,,,,,0-0,5-7,Jason Guo
Binghamton 8th Annual Phyllis Schatz Invitational,Novice,2025-09-25,4-6,,LLL,,,,,0-1,4-7,Jason Guo
George Mason Debate Tournament,Novice,2025-09-12,3-7,,,,,,,0-0,3-7,Jason Guo
